,nu,nd,iA,beta,delta,Iu,Id,I0,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,A_win,B_win,C_win,D_win,winner,u_high,u_low,aud,u_high_det,u_low_det,aud_det,total_shock,high_after_shock,high_ex_ante,different
6520,2.8711749587473303,0.3355751547985486,77.04619664612345,0.37388856109372826,0.16487494783674517,94.05107453337371,34.412476531018854,20.91212472181434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,D,703.6238921532962,113.79885918361087,180.82766935443834,474.4614883682183,87.01497794018557,85.25533371488856,95.57233563954978,True,True,False
6521,9.736077131156652,6.647016651147788,57.60495826324185,0.8445464896286242,0.25329244247022,51.224527809243185,35.4049824396899,26.38185897164712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,1337.4027403576363,1253.5621728364515,115.36128097265859,1003.234432644026,1025.4187146719657,69.39591665799736,45.96536431466122,True,False,True
6522,6.266234653400251,5.745418020156162,71.28148793476775,0.37945449703647793,0.9892188487050146,96.16168606589093,7.314482884502405,69.20720277875935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,605.1363484632858,1107.3296658233621,37.96276344284418,607.2990535359928,1109.3126181678408,69.97569928471576,-32.01293584187158,False,False,False
6523,6.308089833352815,5.990754149065327,97.65069816718703,0.11387902569095953,0.6546411044371332,92.71949345598895,58.37437635724737,79.15133203276528,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,314.57841000653536,648.4597201375889,-24.6275175742023,786.5726177191715,1096.7097186139704,192.02720133549315,-216.65471890969545,False,False,False
6524,6.443091566588693,4.377219629538917,68.82009488900763,0.8774877765349363,0.3079443657476515,73.83292798286793,45.029789740538895,22.855581109565946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,-206.72793625942157,182.7389372355034,-153.0485863195317,789.9940726946879,859.8783349450603,70.48291552728493,-223.5315018468166,False,False,False
6525,5.119871584960438,4.766424869089795,38.11747464247264,0.89575178235371,0.06680574024773556,96.05181899345163,33.63268828957079,92.91426288469815,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,485.9130660040475,612.6760828393703,65.66112805486637,1230.0054389806203,1305.4005648115058,221.39953430200427,-155.7384062471379,False,False,False
6526,8.283956281104713,6.9422097000961625,53.82883404515324,0.3310472544221581,0.054686001686384045,77.01963431898767,76.55471733100404,70.037831838848,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,A,1157.7047921957735,1501.6510613060386,66.85389899740576,2129.5785766633353,2316.1111314526343,190.96081401347993,-124.10691501607417,False,False,False
6527,3.0603398781936497,1.8735526645124256,23.86863707563962,0.8748659226875818,0.9972737244598088,86.72151383531317,60.66916943180941,6.049735588904836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,265.29319886169304,324.89091114921627,-12.478018836653952,265.44832494764813,324.98587997726946,6.114808070341854,-18.592826906995807,False,False,False
6528,5.687648240525784,2.1670636170997524,53.078961182597396,0.9306752862724853,0.09008357280038848,37.80877761047918,14.6539078170713,32.62871172438212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,D,824.5758703844841,396.10752878486375,117.77764780591632,633.8587813362078,323.44198278803765,80.92613044311801,36.851517362798305,True,True,False
6529,6.8322673990281935,4.786068098409761,4.331229737334697,0.39693862128294455,0.7366384938369342,50.7363092334808,4.69811088972627,14.135652203485083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,B,138.53488849733384,339.87243407073726,-115.65755531986173,374.1315936237346,504.91016000287846,15.276331390647808,-130.93388671050954,False,False,False
